Organisation,SctrCluster,SubSctr,Cntry,Region,Province,Municipality,Barangay,PlaceName,Activity,MtrlsSrcPrvd,PrmryBnfcry,Status,ProvinceCODE,PCODE,MncpltyCODE,MncpltyCODE,BarangayCODE,N.PrmyBnfcrs,StartDate,EndDate
PRC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,SANTA FE,No Data,No Data,tools and tarps,No Data,No Data,Planned,72200000,722,72244000,No Data,No Data,920,25.11.13,
PRC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,BANTAYAN,No Data,No Data,tools and tarps,No Data,No Data,Planned,72200000,722,72209000,No Data,No Data,2300,25.11.13,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,0,No Data,No Data,No Data,No Data,No Data,Ongoing,60400000,604,No Data,No Data,No Data,5,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CARLES,Guincicgan,No Data,tools and tarps,No Data,No Data,Ongoing,63000000,630,63014000,No Data,No Data,2825,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CARLES,Baraspos,No Data,tools and tarps,No Data,No Data,Ongoing,63000000,630,63014000,No Data,No Data,3082,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CARLES,Pancal,No Data,tools and tarps,No Data,No Data,Ongoing,63000000,630,63014000,No Data,No Data,5654,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,0,No Data,No Data,tarpaulins - 1 per HH,No Data,No Data,Planned,61900000,619,No Data,No Data,No Data,106904,20.11.13,
SDC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,DAANBANTAYAN,No Data,No Data,tarpaulins - 1 per HH,No Data,No Data,Ongoing,72200000,722,72221000,No Data,No Data,9200,14.11.13,29.11.13
SDC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,DAANBANTAYAN,No Data,No Data,tools and tarps,No Data,No Data,Completed,72200000,722,72221000,No Data,No Data,3680,14.11.13,22.11.13
SDC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,DAANBANTAYAN,No Data,No Data,construction materials,No Data,No Data,Ongoing,72200000,722,72221000,No Data,No Data,18400,18.11.13,06.12.13
SDC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,BANTAYAN,No Data,No Data,construction materials,No Data,No Data,Planned,72200000,722,72209000,No Data,No Data,2300,02.12.13,06.12.13
SDC,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,ORMOC CITY,No Data,No Data,construction materials,No Data,No Data,Ongoing,83700000,837,83738000,No Data,No Data,27600,25.11.13,06.12.13
SDC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,DAANBANTAYAN,No Data,No Data,NFI - kitchen sets,No Data,No Data,Completed,72200000,722,72221000,No Data,No Data,1840,14.11.13,16.11.13
Solidar Suisse,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,No Data,No Data,construction materials,No Data,No Data,Ongoing,63000000,630,63009000,No Data,No Data,3680,03.12.13,
Solidar Suisse,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,No Data,No Data,construction materials,No Data,No Data,Ongoing,63000000,630,63019000,No Data,No Data,3910,03.12.13,
Solidar Suisse,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SARA,No Data,No Data,construction materials,No Data,No Data,Ongoing,63000000,630,63044000,No Data,No Data,3910,03.12.13,
UNFPA,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Botongan / CAMP,No Data,NFI - household kits,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,5,,
