Organisation,SctrCluster,SubSctr,Cntry,Region,Province,Municipality,Barangay,PlaceName,Activity,MtrlsSrcPrvd,PrmryBnfcry,Status,ProvinceCODE,PCODE,MncpltyCODE,MncpltyCODE,BarangayCODE,N.PrmyBnfcrs,StartDate,EndDate
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),BASEY,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,86000000,860,86002000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),BASEY,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,86000000,860,86002000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),BASEY,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,86000000,860,86002000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),BASEY,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,86000000,860,86002000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Ongoing,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Ongoing,83700000,837,83710000,No Data,No Data,,23.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,30.11.13,30.04.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to psychosocial distress,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Provide support to caregivers to improve care for their children.,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to sexual violence,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,BURAUEN,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,83700000,837,83710000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,30.11.13,30.04.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to psychosocial distress,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Provide support to caregivers to improve care for their children.,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to sexual violence,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,DAGAMI,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,83700000,837,83717000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,30.11.13,30.04.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to psychosocial distress,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Provide support to caregivers to improve care for their children.,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to sexual violence,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GIPORLOS,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,82600000,826,82608000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,82600000,826,82609000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,82600000,826,82609000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,82600000,826,82609000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,82600000,826,82609000,No Data,No Data,,16.12.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,01.01.14,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,30.11.13,30.04.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to psychosocial distress,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Provide support to caregivers to improve care for their children.,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to sexual violence,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,82600000,826,82609000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,82600000,826,82610000,No Data,No Data,,23.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,82600000,826,82610000,No Data,No Data,,23.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,82600000,826,82610000,No Data,No Data,,23.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,23.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,30.11.13,30.04.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to psychosocial distress,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Provide support to caregivers to improve care for their children.,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to sexual violence,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,HERNANI,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,82600000,826,82610000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,22.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,24.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,25.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,22.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,25.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Ongoing,83700000,837,83725000,No Data,No Data,,24.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to psychosocial distress,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Provide support to caregivers to improve care for their children.,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to sexual violence,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,JULITA,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,83700000,837,83725000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Conduct regularly scheduled activities for children in a safe community child-friendly space or area,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,30.11.13,30.04.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to psychosocial distress,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Provide support to caregivers to improve care for their children.,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of and respond to sexual violence,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Proactively identify unaccompanied and separated children.,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Refer UASC to appropriate services,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Regularly and systematically monitor the safety and wellbeing of UASC,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,LA PAZ,No Data,No Data,Provide messaging over radio and leaflets and other media,No Data,No Data,Planned,83700000,837,83728000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,LAWAAN,No Data,No Data,Undertake community-based child protection interventions to mitigate the risk of child labour,No Data,No Data,Planned,82600000,826,82612000,No Data,No Data,,20.11.13,20.05.13
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,LAWAAN,No Data,No Data,Establish safe community child-friendly spaces or areas for children and youth.,No Data,No Data,Planned,82600000,826,82612000,No Data,No Data,,,
Plan International,Protection,Child Protection,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,LAWAAN,No Data,No Data,"Conduct awareness raising sessions with parents, social workers, day care workers and other relevant adults on physical violence and other harmful practices",No Data,No Data,Planned,82600000,826,82612000,No Data,No Data,,20.11.13,20.05.13
